nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Software Engineer,Kraków,Nie,10 000,14 000
Senior Frontend Engineer,"Warszawa, +4 locations",Tak,25 470,36 460
Front-End React Developer,"Rzeszów, +2 locations",Tak,11 000,18 000
Senior Node.js Developer,"Warszawa, +1 location",Tak,23 230,30 190
Game Developer: Frontend JavaScript,Kraków,Nie,14 000,17 000
Junior Full Stack Developer,Warszawa,Nie,5 000,9 000
Kurs Junior Full-Stack Developer,"Katowice, +2 locations",Nie,Brak danych,Brak danych
Senior React Developer,Warszawa,Tak,23 520,30 240
Angular Developer,"Lisboa, +2 locations",Tak,17 570,26 350
IT Consultant (Node.js),Warszawa,Tak,30 240,37 000
Senior NodeJS developer,"Kraków, +2 locations",Tak,21 960,30 750
React Mid Developer,Gliwice,Nie,9 000,18 000
Senior Full-stack Developer React & Node,"Katowice, +2 locations",Tak,20 160,30 240
Magento Frontend Developer,"Wrocław, +2 locations",Tak,12 000,20 000
JavaScript/Node.Js Developer,Warszawa,Nie,Brak danych,Brak danych
Front-end Developer (React),"Kraków, +2 locations",Tak,18 000,26 000
React Developer,Warszawa,Tak,23 000,27 000
Fullstack Developer (React+Node.js),"Kraków, +2 locations",Tak,22 000,29 000
React Developer (100% greenfield),Warszawa,Nie,18 480,25 200
Fullstack Team Leader (Commercetools),Warszawa,Tak,29 650,35 140
Frontend Developer with React,"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Senior Frontend Developer - Vue.js,"Warszawa, +2 locations",Tak,17 997,26 000
React Engineer,Kraków,Nie,13 500,20 000
Frontend Developer,Wrocław,Tak,8 000,16 000
Frontend developer,Wrocław,Tak,8 000,14 000
Frontend Developer (Angular),Warszawa,Nie,16 000,25 000
Cloud Software Developer (JS/ServiceNow),"Wrocław, +2 locations",Tak,10 000,16 000
Fullstack Developer,Warszawa,Nie,12 000,19 000
Engineering Manager,"Warszawa, +2 locations",Tak,35 999,46 000
Frontend Team (staż),Poznań,Nie,Brak danych,Brak danych
Frontend Developer,"Warszawa, +1 location",Tak,Brak danych,Brak danych
Backend Team (staż),Poznań,Nie,Brak danych,Brak danych
Angular Developer,"Kraków, +2 locations",Tak,20 000,27 000
Frontend Developer (React),"Kraków, +2 locations",Tak,15 000,20 000
Frontend Software Engineer - Intern,"Warszawa, +1 location",Nie,,
Senior Backend Developer,Warszawa,Tak,24 000,28 000
Frontend Developer (React),Barcelona,Nie,Brak danych,Brak danych
React Native Developer,Warszawa,Tak,22 400,25 600
Remote Senior Node.js Developer,Wrocław,Tak,18 480,25 200
React Developer,"Wrocław, +1 location",Tak,13 000,19 000
Frontend Developer (React),"Kraków, +2 locations",Tak,15 000,20 000
Frontend Software Engineer - Intern,"Warszawa, +1 location",Nie,,
Senior Backend Developer,Warszawa,Tak,24 000,28 000
Frontend Developer (React),Barcelona,Nie,Brak danych,Brak danych
React Native Developer,Warszawa,Tak,22 400,25 600
Remote Senior Node.js Developer,Wrocław,Tak,18 480,25 200
React Developer,"Wrocław, +1 location",Tak,13 000,19 000
Mid Frontend Developer - Angular,Bratislava,Tak,19 000,38 000
Frontend Developer (React),Warszawa,Tak,11 000,16 000
Mid Backend Software Developer - Node.js,Bratislava,Tak,19 000,38 000
